hieroglyph	gardiner_codes	transliteration	english	occurrence
𓇋	M17	i	I,me,my	1543.85
𓇋	M17	=i	I,me,my	1543.85
𓏲	Z7	W	same as G43*	1051.0
𓏲	Z7	W	same as G43*	1051.0
𓀁	A2	swr	drink	837.0
𓏏	X1	t	you, your	654.555
𓏏	X1	T	you,your	654.555
𓏏	X1	=t	you, your	654.555
𓄿	G1	A	part\u00edcula encl\u00edtica	627.067
𓄿	G1	A	vulture, bird (en general)	627.067
𓆑	I9	f	he, him, his, it, its	597.417
𓆑	I9	=f	he, him, his, it, its	597.417
𓀜	A24	nxt	strong, victorious, stiff, hard	403.0
𓂋	D21	r	to, at, concerning, more than, from	357.364
𓂋	D21	r	so that, until, according as	357.364
𓂋	D21	r	(indicates futurity)	357.364
𓂋	D21	r	a  part (in fractions)	357.364
𓅪	G37	nDs	little / small (of size), dim (of eyes), dull (of ears), poor (of appetite)	338.0
𓅪	G37	Srr	little, meagre, younger, junior, short	338.0
𓁹	D4	iri	create, beget, make, construct, do, act, take action, achieve, prepare, treat	282.5
𓅓	G17	m	with, by means of, from, out of, as, namely, when, as, though, together with	272.742
𓅓	G17	m	in the position of	272.742
𓅓	G17	m	do not	272.742
𓂝	D36	mH	cubit	270.972
𓂝	D36	rdi	give, put, place, appoint, cause, permit, grant	270.972
𓏛	Y1	dmD	total	270.25
𓀀	A1	i	I, me, my	258.5
𓀀	A1	=i	I, me, my	258.5
𓎡	V31	k	you, your	251.617
𓎡	V31	=k	you, your	251.617
𓈖	N35	n	to, for, to (persons), in (sun, dew, time), because, belongs to	213.314
𓈖	N35	ny	of, belonging to	213.314
𓈖	N35	n	we, us, our	213.314
𓈖	N35	=n	we, us, our	213.314
𓀭	A40	i	I,me,my	207.5
𓀭	A40	=i	I,me,my	207.5
𓉐	O1	pA	this, the	177.4
𓂧	D46	Ssp	palm (of hand), one seventh of a cubit (measurement)	161.417
𓂧	D46	dw	give, place, put, implant (obstacle), strike (blow), cause	161.417
𓊃	O34	s	she, her, it, its	160.686
𓊃	O34	sy	she, her, it	160.686
𓊃	O34	=s	she, her, it, its	160.686
𓂜	D35	n	not	156.167
𓆇	H8	imy	in which is	148.0
𓊛	P1	imw	ship	138.5
𓃀	D58	bw	place	133.25
𓃀	D58	bw	place	133.25
𓌙	T14	qmA	throw, create, beget, produce, carry out (teaching), hammer out (from metal)	128.0
𓈉	N25	smyt	desert, necropolis	121.5
𓊹	R8	nTry	divine, sacred	112.75
𓁷𓏤	D2,Z1	Hr	face, sight	109.0
𓁷𓏤	D2,Z1	Hr	upon, in, at, from, on account of, concerning, through, and, having on it, because	109.0
𓇩	M40	ist	gang (of workmen)	104.0
𓄹	F51	fAk	pubic region	103.0
𓊖	O49	niwt	city, town	94.5
𓍿	V13	T	you, your	86.3333
𓅱	G43	w	property	85.9
𓅱	G43	w	not	85.9
𓅱	G43	wi	I, me	85.9
𓅱	G43	wy	how !	85.9
𓆼	M12	xA	1000	83.0
𓆼	M12	xA  tA	land measure (of 10 arouras)	83.0
𓋹	S34	anx	swear	80.6667
𓏴	Z9	Hsb	one quarter (number), one quarter of an aroura	77.75
𓏴	Z9	Sbn	mixed, various	77.75
𓏤	Z1	1	one	75.0
𓉔𓄿	O4,G1	hA	ho ! , ha !	74.0
𓋴	S29	s	she, her, it, its	72.9623
𓋴	S29	sy	she, her, it	72.9623
𓋴	S29	sy	who ?, what ?	72.9623
𓋴	S29	.sn	they, them, their	72.9623
𓋴	S29	snb	health	72.9623
𓋴	S29	=s	she, her, it, its	72.9623
𓃒	E1	kA	bull	69.0
𓄛	F27	dHr	leather, hide	68.5
𓎟	V30	nb	lord, master, owner	68.5
𓎟	V30	nb	any, every, all	68.5
𓅨	G36	wr	swallow (bird)	64.0952
𓅨	G36	wr	great	64.0952
𓁣	C7	stX	Seth (god)	59.0
𓂡	D40	nxt	strong, victorious, stiff, hard	53.5833
𓂡	D40	xAi	measure, examine (patient), patrol	53.5833
𓂡	D40	srwx	treatment	53.5833
𓇋𓀁	M17,A2	i	O!, say, utterance	51.0
𓇳𓏤	N5,Z1	hrw	day, daytime	49.0
𓏇	W19	mi	like, according as	46.8333
𓄡	F32	Xt	belly, womb, body, sole (of foot)	45.0
𓄣𓏤	F34,Z1	ib	heart, mind, understanding, intelligence, will, desire, mood, wish	44.0
𓇋𓏏	M17,X1	ity	sovereign	43.25
𓅷	G47	TAty	vizier	42.0
𓄓	F20	ns	tongue	41.0
𓎝	V29	wAH	(see entries under wAH)	40.25
𓇋𓂋	M17,D21	ir	as to, if	39.2786
𓇋𓂋	M17,D21	r	to, at, concerning, more than, so that, until, according as	39.2786
𓊪𓈖	Q3,N35	pn	this, he of	39.0
𓅭	G39	Apd	duck, bird (en general)	38.9167
𓅭	G39	wSA	fatten	38.9167
𓅭	G39	sA	land measure of 1/8 aroura	38.9167
𓇋𓈖	M17,N35	in	by, so says	38.4167
𓇆	M14	wAD	green	38.0
𓇑𓇑	M22,M22	nn	this, these, here, hither	37.6667
𓀸	A47	mniw	herdsman	37.5
𓍘	U33	ti	(not translated)	37.0
𓏎	W25	ini	bring, fetch, carry off, bring away, bring about, remove (something)	36.3333
𓏎	W25	ini	overcome (trouble), reach, attain (a place), buy, appoint, use	36.3333
𓉿	O31	aA	door	35.0
𓆄	H6	mAat	right - doing, righteousness	34.3333
𓆄	H6	Swt	side	34.3333
𓏏𓏭	X1,Z4	ty	forsooth, pray	33.5
𓇋𓀀	M17,A1	i	I,me,my	32.75
𓇋𓀀	M17,A1	=i	I,me,my	32.75
𓈘	N36	mr	partisan, supporter	32.0
𓏇𓇋	W19,M17	mi	like, according as	31.6667
𓇼	N14	wnwty	hour watcher, astronomer	31.25
𓇍	M18	ii	come, return	31.0
𓉻	O29	aA(i)	great (of size)	30.4333
𓉻	O29	aAw	greatly	30.4333
𓈗	N35A	mw	water, rain, semen	30.0
𓌡𓂝𓏤	T21,D36,Z1	wa	one, unique, one only	29.5
𓌡𓂝	T21,D36	waty	sole, single	29.5
𓄲	F46	pXr	turn, turn about	29.0667
𓎆	V20	mD	(the number) ten	28.0
𓀼	A51	Spsy	noble, august (of gods), splendid (of buildings), valuable (of plants, minerals), costly	27.0
𓁷𓂋	D2,D21	Hry	master	27.0
